log_num,input size,layers,number epochs,step per epoch,accuracy,loss,validation accuracy,validation loss
325,400,[64 128 256 512 1024],20,1000,0.984573,0.0372,0.950719,0.140528,relu,True

326,400,[64 128 256 512 1024],30,1000,0.985553,0.034443,0.9454,0.161733,relu,True

327,400,[64 128 256 512 1024],40,1000,0.986258,0.033284,0.949281,0.153775,relu,True

328,400,[64 128 256 512 1024],50,1000,0.98721,0.03071,0.95095,0.150721,relu,True

329,400,[64 128 256 512 1024],60,1000,0.987433,0.030188,0.947438,0.145037,relu,True

330,400,[64 128 256 512 1024],70,1000,0.98806,0.02846,0.94825,0.148343,relu,True

331,400,[64 128 256 512 1024],80,1000,0.988766,0.026845,0.945463,0.1521,relu,True

332,400,[64 128 256 512 1024],90,1000,0.988642,0.02705,0.950106,0.145387,relu,True

333,400,[64 128 256 512 1024],100,1000,0.98915,0.02574,0.948031,0.156349,relu,True

334,400,[64 128 256 512 1024],110,1000,0.9895,0.025,0.950113,0.153933,relu,True

335,400,[64 128 256 512 1024],120,1000,0.989972,0.024088,0.950744,0.137292,relu,True

336,400,[64 128 256 512 1024],130,1000,0.990124,0.023525,0.951656,0.160187,relu,True

337,400,[64 128 256 512 1024],140,1000,0.990314,0.023212,0.950175,0.162781,relu,True

338,400,[64 128 256 512 1024],150,1000,0.990746,0.022099,0.949612,0.159313,relu,True

339,400,[64 128 256 512 1024],160,1000,0.99077,0.02209,0.948794,0.170011,relu,True

340,400,[64 128 256 512 1024],170,1000,0.991087,0.021195,0.947806,0.153263,relu,True

341,400,[64 128 256 512 1024],180,1000,0.990834,0.021916,0.94695,0.174105,relu,True

342,400,[64 128 256 512 1024],190,1000,0.991256,0.020944,0.954194,0.168388,relu,True

343,400,[64 128 256 512 1024],200,1000,0.991508,0.020491,0.949238,0.155753,relu,True

344,400,[64 128 256 512 1024],10,1000,0.99698,0.00871,0.9109,0.31209,relu,True

